main_category,brand,price_range,total_views,purchase_count,features,product_id
appliances,aeg,0-500,14,0,appliances aeg 0-500,166
appliances,agness,0-500,1,0,appliances agness 0-500,167
appliances,agu,0-500,3,0,appliances agu 0-500,168
appliances,akpo,0-500,32,0,appliances akpo 0-500,169
appliances,almacom,0-500,469,2,appliances almacom 0-500,170
appliances,almacom,1k-5k,3,0,appliances almacom 1k-5k,171
appliances,almacom,500-1k,7,0,appliances almacom 500-1k,172
appliances,alpicool,500-1k,11,0,appliances alpicool 500-1k,173
appliances,alteco,0-500,30,0,appliances alteco 0-500,174
appliances,aoki,0-500,1,0,appliances aoki 0-500,175
appliances,apollo,0-500,20,2,appliances apollo 0-500,176
appliances,aqua,0-500,317,4,appliances aqua 0-500,177
appliances,ardesia,0-500,5,0,appliances ardesia 0-500,178
appliances,arg,0-500,118,1,appliances arg 0-500,179
appliances,ariete,0-500,12,0,appliances ariete 0-500,180
appliances,ariston,0-500,1261,56,appliances ariston 0-500,181
appliances,ariston,1k-5k,7,0,appliances ariston 1k-5k,182
appliances,ariston,500-1k,16,0,appliances ariston 500-1k,183
appliances,arnica,0-500,402,4,appliances arnica 0-500,184
appliances,artel,0-500,1799,38,appliances artel 0-500,185
appliances,asel,0-500,559,9,appliances asel 0-500,186
appliances,aston,0-500,22,0,appliances aston 0-500,187
appliances,atlant,0-500,1113,8,appliances atlant 0-500,188
appliances,atlantic,0-500,207,0,appliances atlantic 0-500,189
appliances,ava,0-500,193,2,appliances ava 0-500,190
appliances,babyliss,0-500,29,0,appliances babyliss 0-500,191
appliances,ballu,0-500,856,14,appliances ballu 0-500,192
appliances,ballu,500-1k,6,0,appliances ballu 500-1k,193
appliances,bbk,0-500,59,0,appliances bbk 0-500,194
appliances,beko,0-500,3058,56,appliances beko 0-500,195
appliances,beko,1k-5k,20,0,appliances beko 1k-5k,196
appliances,beko,500-1k,9,0,appliances beko 500-1k,197
appliances,bene,0-500,172,3,appliances bene 0-500,198
appliances,berghoff,0-500,9,0,appliances berghoff 0-500,199
appliances,bergner,0-500,6,0,appliances bergner 0-500,200
appliances,bernina,0-500,73,0,appliances bernina 0-500,201
appliances,bernina,1k-5k,50,0,appliances bernina 1k-5k,202
appliances,bernina,500-1k,94,0,appliances bernina 500-1k,203
appliances,biemmedue,0-500,1,0,appliances biemmedue 0-500,204
appliances,bissell,0-500,14,0,appliances bissell 0-500,205
appliances,bissell,500-1k,4,0,appliances bissell 500-1k,206
appliances,bompani,0-500,1,0,appliances bompani 0-500,207
appliances,bonvini,1k-5k,1,0,appliances bonvini 1k-5k,208
appliances,bork,0-500,16,0,appliances bork 0-500,209
appliances,bork,500-1k,5,0,appliances bork 500-1k,210
appliances,bosch,0-500,3575,53,appliances bosch 0-500,211
appliances,bosch,1k-5k,108,1,appliances bosch 1k-5k,212
appliances,bosch,500-1k,399,4,appliances bosch 500-1k,213
appliances,bosher,0-500,48,2,appliances bosher 0-500,214
appliances,boyscout,0-500,5,0,appliances boyscout 0-500,215
appliances,bradex,0-500,19,1,appliances bradex 0-500,216
appliances,braun,0-500,1065,11,appliances braun 0-500,217
appliances,brother,0-500,221,0,appliances brother 0-500,218
appliances,brother,1k-5k,3,0,appliances brother 1k-5k,219
appliances,brother,500-1k,20,0,appliances brother 500-1k,220
appliances,candy,0-500,273,5,appliances candy 0-500,221
appliances,candy,500-1k,18,0,appliances candy 500-1k,222
appliances,carver,0-500,12,0,appliances carver 0-500,223
appliances,cata,0-500,4,0,appliances cata 0-500,224
appliances,cavanova,1k-5k,3,0,appliances cavanova 1k-5k,225
appliances,cavanova,500-1k,1,0,appliances cavanova 500-1k,226
appliances,char-broil,0-500,2,0,appliances char-broil 0-500,227
appliances,char-broil,1k-5k,1,0,appliances char-broil 1k-5k,228
appliances,char-broil,500-1k,1,0,appliances char-broil 500-1k,229
appliances,chayka,0-500,324,5,appliances chayka 0-500,230
appliances,chigo,0-500,6,0,appliances chigo 0-500,231
appliances,chigo,1k-5k,2,0,appliances chigo 1k-5k,232
appliances,clatronic,0-500,68,0,appliances clatronic 0-500,233
appliances,cmi,0-500,1,0,appliances cmi 0-500,234
appliances,comfee,0-500,6,0,appliances comfee 0-500,235
appliances,coolfort,0-500,72,0,appliances coolfort 0-500,236
appliances,daewoo,500-1k,5,0,appliances daewoo 500-1k,237
appliances,danke,0-500,5,0,appliances danke 0-500,238
appliances,darina,0-500,41,0,appliances darina 0-500,239
appliances,dauscher,0-500,3170,47,appliances dauscher 0-500,240
appliances,dauscher,500-1k,298,2,appliances dauscher 500-1k,241
appliances,delonghi,0-500,366,2,appliances delonghi 0-500,242
appliances,delonghi,1k-5k,60,0,appliances delonghi 1k-5k,243
appliances,delonghi,500-1k,59,0,appliances delonghi 500-1k,244
appliances,delta,0-500,8,0,appliances delta 0-500,245
appliances,deluxe,0-500,8,0,appliances deluxe 0-500,246
appliances,demark,0-500,10,0,appliances demark 0-500,247
appliances,demiray,0-500,28,0,appliances demiray 0-500,248
appliances,deton,0-500,2,0,appliances deton 0-500,249
appliances,dewalt,1k-5k,2,0,appliances dewalt 1k-5k,250
appliances,dewalt,500-1k,8,0,appliances dewalt 500-1k,251
appliances,ditreex,0-500,11,0,appliances ditreex 0-500,252
appliances,dometic,0-500,222,0,appliances dometic 0-500,253
appliances,dometic,1k-5k,40,0,appliances dometic 1k-5k,254
appliances,dometic,500-1k,36,0,appliances dometic 500-1k,255
appliances,dwt,0-500,13,0,appliances dwt 0-500,256
appliances,dyson,0-500,73,1,appliances dyson 0-500,257
appliances,dyson,500-1k,86,1,appliances dyson 500-1k,258
appliances,ecoterm,0-500,15,0,appliances ecoterm 0-500,259
appliances,einhell,0-500,2,0,appliances einhell 0-500,260
appliances,electrolux,0-500,949,10,appliances electrolux 0-500,261
appliances,electrolux,1k-5k,67,0,appliances electrolux 1k-5k,262
appliances,electrolux,500-1k,147,2,appliances electrolux 500-1k,263
appliances,electronicsdeluxe,0-500,4,0,appliances electronicsdeluxe 0-500,264
appliances,elenberg,0-500,4220,116,appliances elenberg 0-500,265
appliances,elenberg,500-1k,3,0,appliances elenberg 500-1k,266
appliances,elica,0-500,12,0,appliances elica 0-500,267
appliances,elikor,0-500,90,0,appliances elikor 0-500,268
appliances,elna,0-500,17,0,appliances elna 0-500,269
appliances,elna,1k-5k,10,0,appliances elna 1k-5k,270
appliances,elna,500-1k,1,0,appliances elna 500-1k,271
appliances,etalon,0-500,63,0,appliances etalon 0-500,272
appliances,eurogold,0-500,4,0,appliances eurogold 0-500,273
appliances,evgo,0-500,8,0,appliances evgo 0-500,274
appliances,ezetil,0-500,59,0,appliances ezetil 0-500,275
appliances,ezetil,1k-5k,13,0,appliances ezetil 1k-5k,276
appliances,ezetil,500-1k,52,0,appliances ezetil 500-1k,277
appliances,faber,0-500,1,0,appliances faber 0-500,278
appliances,fagor,500-1k,2,0,appliances fagor 500-1k,279
appliances,fantasia,0-500,12,0,appliances fantasia 0-500,280
appliances,fantasia,500-1k,2,0,appliances fantasia 500-1k,281
appliances,felisatti,0-500,9,0,appliances felisatti 0-500,282
appliances,ferre,0-500,1,0,appliances ferre 0-500,283
appliances,firman,0-500,21,2,appliances firman 0-500,284
appliances,first,0-500,24,0,appliances first 0-500,285
appliances,fissman,0-500,4,0,appliances fissman 0-500,286
appliances,flama,0-500,28,0,appliances flama 0-500,287
appliances,flavia,0-500,16,0,appliances flavia 0-500,288
appliances,fornelli,0-500,21,0,appliances fornelli 0-500,289
appliances,fornelli,500-1k,1,0,appliances fornelli 500-1k,290
appliances,franke,0-500,4,0,appliances franke 0-500,291
appliances,franke,500-1k,4,0,appliances franke 500-1k,292
appliances,fresh,0-500,8,0,appliances fresh 0-500,293
appliances,galanz,0-500,71,5,appliances galanz 0-500,294
appliances,galaxy,0-500,357,4,appliances galaxy 0-500,295
appliances,garanterm,0-500,42,1,appliances garanterm 0-500,296
appliances,gardena,0-500,1,0,appliances gardena 0-500,297
appliances,garmin,0-500,8,0,appliances garmin 0-500,298
appliances,gefest,0-500,459,2,appliances gefest 0-500,299
appliances,gimi,0-500,21,0,appliances gimi 0-500,300
appliances,gipfel,0-500,22,0,appliances gipfel 0-500,301
appliances,gorenje,0-500,680,7,appliances gorenje 0-500,302
appliances,gorenje,500-1k,31,0,appliances gorenje 500-1k,303
appliances,gree,0-500,52,0,appliances gree 0-500,304
appliances,gree,1k-5k,1,0,appliances gree 1k-5k,305
appliances,gree,500-1k,2,0,appliances gree 500-1k,306
appliances,greentek,0-500,16,0,appliances greentek 0-500,307
appliances,greta,0-500,7,0,appliances greta 0-500,308
appliances,haier,0-500,695,11,appliances haier 0-500,309
appliances,haier,1k-5k,30,0,appliances haier 1k-5k,310
appliances,haier,500-1k,107,1,appliances haier 500-1k,311
appliances,hansa,0-500,940,15,appliances hansa 0-500,312
appliances,hansa,500-1k,19,0,appliances hansa 500-1k,313
appliances,hintek,0-500,3,0,appliances hintek 0-500,314
appliances,hisense,0-500,1,0,appliances hisense 0-500,315
appliances,hitachi,1k-5k,18,0,appliances hitachi 1k-5k,316
appliances,hitachi,500-1k,6,0,appliances hitachi 500-1k,317
appliances,hobot,0-500,4,0,appliances hobot 0-500,318
appliances,hobot,500-1k,4,0,appliances hobot 500-1k,319
appliances,homs,0-500,1,0,appliances homs 0-500,320
appliances,hoover,0-500,42,1,appliances hoover 0-500,321
appliances,horizont,0-500,179,3,appliances horizont 0-500,322
appliances,hotpoint-ariston,0-500,120,2,appliances hotpoint-ariston 0-500,323
appliances,hotpoint-ariston,1k-5k,4,0,appliances hotpoint-ariston 1k-5k,324
appliances,hotpoint-ariston,500-1k,7,0,appliances hotpoint-ariston 500-1k,325
appliances,hottek,0-500,14,1,appliances hottek 0-500,326
appliances,huawei,0-500,36,1,appliances huawei 0-500,327
appliances,hyundai,0-500,136,1,appliances hyundai 0-500,328
appliances,ibili,0-500,8,0,appliances ibili 0-500,329
appliances,ikea,0-500,21,1,appliances ikea 0-500,330
appliances,ilife,0-500,65,0,appliances ilife 0-500,331
appliances,indesit,0-500,3714,50,appliances indesit 0-500,332
appliances,irest,0-500,2,0,appliances irest 0-500,333
appliances,irobot,0-500,45,0,appliances irobot 0-500,334
appliances,irobot,1k-5k,32,0,appliances irobot 1k-5k,335
appliances,irobot,500-1k,39,0,appliances irobot 500-1k,336
appliances,jaguar,0-500,292,1,appliances jaguar 0-500,337
appliances,janome,0-500,1687,26,appliances janome 0-500,338
appliances,janome,1k-5k,139,5,appliances janome 1k-5k,339
appliances,janome,500-1k,39,0,appliances janome 500-1k,340
appliances,jata,0-500,4,0,appliances jata 0-500,341
appliances,jetair,0-500,26,1,appliances jetair 0-500,342
appliances,juki,0-500,2,0,appliances juki 0-500,343
appliances,juki,500-1k,4,0,appliances juki 500-1k,344
appliances,jura,1k-5k,11,0,appliances jura 1k-5k,345
appliances,jura,500-1k,1,0,appliances jura 500-1k,346
appliances,kaiser,0-500,7,0,appliances kaiser 0-500,347
appliances,kaiser,1k-5k,1,0,appliances kaiser 1k-5k,348
appliances,kaiser,500-1k,2,0,appliances kaiser 500-1k,349
appliances,karcher,0-500,690,11,appliances karcher 0-500,350
appliances,karcher,500-1k,225,2,appliances karcher 500-1k,351
appliances,kelli,0-500,1,0,appliances kelli 0-500,352
appliances,kenwood,0-500,131,4,appliances kenwood 0-500,353
appliances,kiepe,0-500,3,0,appliances kiepe 0-500,354
appliances,kitchenaid,0-500,36,0,appliances kitchenaid 0-500,355
appliances,kitchenaid,1k-5k,19,0,appliances kitchenaid 1k-5k,356
appliances,kitchenaid,500-1k,36,0,appliances kitchenaid 500-1k,357
appliances,kitfort,0-500,714,6,appliances kitfort 0-500,358
appliances,klima,0-500,87,0,appliances klima 0-500,359
appliances,klima,1k-5k,4,0,appliances klima 1k-5k,360
appliances,kolner,0-500,102,1,appliances kolner 0-500,361
appliances,konov,0-500,5,0,appliances konov 0-500,362
appliances,koopman,0-500,12,0,appliances koopman 0-500,363
appliances,korting,0-500,21,1,appliances korting 0-500,364
appliances,kristal,0-500,23,0,appliances kristal 0-500,365
appliances,kronasteel,0-500,17,0,appliances kronasteel 0-500,366
appliances,krups,0-500,8,0,appliances krups 0-500,367
appliances,krups,500-1k,3,0,appliances krups 500-1k,368
appliances,kumtel,0-500,4,0,appliances kumtel 0-500,369
appliances,kuppersberg,0-500,10,0,appliances kuppersberg 0-500,370
appliances,kuppersberg,1k-5k,8,0,appliances kuppersberg 1k-5k,371
appliances,kuppersberg,500-1k,30,1,appliances kuppersberg 500-1k,372
appliances,kuppersbusch,1k-5k,12,0,appliances kuppersbusch 1k-5k,373
appliances,laurastar,1k-5k,16,0,appliances laurastar 1k-5k,374
appliances,laurastar,500-1k,8,0,appliances laurastar 500-1k,375
appliances,leadbros,0-500,89,2,appliances leadbros 0-500,376
appliances,leadbros,1k-5k,4,0,appliances leadbros 1k-5k,377
appliances,leadbros,500-1k,6,0,appliances leadbros 500-1k,378
appliances,leader,0-500,33,0,appliances leader 0-500,379
appliances,lessar,0-500,2,0,appliances lessar 0-500,380
appliances,lg,0-500,3702,85,appliances lg 0-500,381
appliances,lg,1k-5k,235,1,appliances lg 1k-5k,382
appliances,lg,500-1k,698,11,appliances lg 500-1k,383
appliances,liebherr,0-500,1,0,appliances liebherr 0-500,384
appliances,liebherr,1k-5k,1,0,appliances liebherr 1k-5k,385
appliances,lumme,0-500,38,1,appliances lumme 0-500,386
appliances,luxell,0-500,95,2,appliances luxell 0-500,387
appliances,maestro,0-500,3,0,appliances maestro 0-500,388
appliances,magnetta,0-500,11,0,appliances magnetta 0-500,389
appliances,makita,0-500,32,1,appliances makita 0-500,390
appliances,makita,1k-5k,2,0,appliances makita 1k-5k,391
appliances,maman,0-500,6,0,appliances maman 0-500,392
appliances,marta,0-500,5,0,appliances marta 0-500,393
appliances,matrix,0-500,6,0,appliances matrix 0-500,394
appliances,maunfeld,0-500,82,2,appliances maunfeld 0-500,395
appliances,maunfeld,1k-5k,1,0,appliances maunfeld 1k-5k,396
appliances,maunfeld,500-1k,1,0,appliances maunfeld 500-1k,397
appliances,maxima,0-500,16,0,appliances maxima 0-500,398
appliances,maxwell,0-500,777,11,appliances maxwell 0-500,399
appliances,mbs,0-500,13,0,appliances mbs 0-500,400
appliances,mdv,0-500,4,0,appliances mdv 0-500,401
appliances,mdv,1k-5k,6,0,appliances mdv 1k-5k,402
appliances,melitta,0-500,8,0,appliances melitta 0-500,403
appliances,melitta,1k-5k,5,0,appliances melitta 1k-5k,404
appliances,melitta,500-1k,3,0,appliances melitta 500-1k,405
appliances,metabo,0-500,1,0,appliances metabo 0-500,406
appliances,midea,0-500,2294,47,appliances midea 0-500,407
appliances,midea,1k-5k,3,0,appliances midea 1k-5k,408
appliances,midea,500-1k,67,1,appliances midea 500-1k,409
appliances,miele,0-500,2,0,appliances miele 0-500,410
appliances,milwaukee,0-500,2,0,appliances milwaukee 0-500,411
appliances,monsher,0-500,1,0,appliances monsher 0-500,412
appliances,moser,0-500,43,1,appliances moser 0-500,413
appliances,moulinex,0-500,409,3,appliances moulinex 0-500,414
appliances,mrm-power,0-500,6,0,appliances mrm-power 0-500,415
appliances,natrol,0-500,3,0,appliances natrol 0-500,416
appliances,neo,0-500,6,0,appliances neo 0-500,417
appliances,nika,0-500,353,8,appliances nika 0-500,418
appliances,nodor,0-500,1,0,appliances nodor 0-500,419
appliances,nodor,1k-5k,1,0,appliances nodor 1k-5k,420
appliances,nodor,500-1k,1,0,appliances nodor 500-1k,421
appliances,nutribullet,0-500,20,0,appliances nutribullet 0-500,422
appliances,oasis,0-500,2002,29,appliances oasis 0-500,423
appliances,obi,0-500,30,0,appliances obi 0-500,424
appliances,omron,0-500,4,0,appliances omron 0-500,425
appliances,optima,0-500,56,1,appliances optima 0-500,426
appliances,orion,0-500,6,0,appliances orion 0-500,427
appliances,oster,0-500,2,0,appliances oster 0-500,428
appliances,otex,0-500,29,0,appliances otex 0-500,429
appliances,oursson,0-500,92,2,appliances oursson 0-500,430
appliances,p.i.t.,0-500,11,0,appliances p.i.t. 0-500,431
appliances,panasonic,0-500,508,3,appliances panasonic 0-500,432
appliances,pangao,0-500,25,0,appliances pangao 0-500,433
appliances,perilla,0-500,100,5,appliances perilla 0-500,434
appliances,philips,0-500,1579,29,appliances philips 0-500,435
appliances,philips,1k-5k,14,0,appliances philips 1k-5k,436
appliances,philips,500-1k,18,0,appliances philips 500-1k,437
appliances,polaris,0-500,1852,31,appliances polaris 0-500,438
appliances,polti,0-500,16,1,appliances polti 0-500,439
appliances,pozis,0-500,133,1,appliances pozis 0-500,440
appliances,pozis,500-1k,1,0,appliances pozis 500-1k,441
appliances,promozer,0-500,19,1,appliances promozer 0-500,442
appliances,rebus,0-500,32,0,appliances rebus 0-500,443
appliances,redmond,0-500,2436,56,appliances redmond 0-500,444
appliances,regent,0-500,8,1,appliances regent 0-500,445
appliances,remington,0-500,76,0,appliances remington 0-500,446
appliances,renova,0-500,15,2,appliances renova 0-500,447
appliances,rinnai,500-1k,8,0,appliances rinnai 500-1k,448
appliances,rondell,0-500,38,2,appliances rondell 0-500,449
appliances,rowenta,0-500,97,2,appliances rowenta 0-500,450
appliances,ryobi,0-500,2,0,appliances ryobi 0-500,451
appliances,sakura,0-500,14,0,appliances sakura 0-500,452
appliances,samsung,0-500,6521,170,appliances samsung 0-500,453
appliances,samsung,1k-5k,316,2,appliances samsung 1k-5k,454
appliances,samsung,500-1k,1150,12,appliances samsung 500-1k,455
appliances,saturn,0-500,585,3,appliances saturn 0-500,456
appliances,scarlett,0-500,1437,20,appliances scarlett 0-500,457
appliances,scoole,0-500,10,0,appliances scoole 0-500,458
appliances,shindo,0-500,3,0,appliances shindo 0-500,459
appliances,shivaki,0-500,92,2,appliances shivaki 0-500,460
appliances,siemens,1k-5k,1,0,appliances siemens 1k-5k,461
appliances,siemens,500-1k,3,0,appliances siemens 500-1k,462
appliances,simfer,0-500,5,0,appliances simfer 0-500,463
appliances,sinbo,0-500,24,0,appliances sinbo 0-500,464
